session_id,s3_location,file_match,num_file_matches,asset_type_match,num_asset_type_matches
multiplane-ophys_749014_2025-01-06_09-12-18,s3://aind-private-data-prod-o5171v/multiplane-ophys_749014_2025-01-06_09-12-18,False,0,False,0
multiplane-ophys_472271_2019-10-07_05-46-00,,False,0,False,0
multiplane-ophys_777654_2024-12-17_15-30-39,s3://aind-private-data-prod-o5171v/multiplane-ophys_777654_2024-12-17_15-30-39,False,0,False,0
multiplane-ophys_777654_2024-12-23_15-30-39,s3://aind-private-data-prod-o5171v/multiplane-ophys_777654_2024-12-23_15-30-39,False,0,False,0
multiplane-ophys_777654_2024-12-31_15-30-39,s3://aind-private-data-prod-o5171v/multiplane-ophys_777654_2024-12-31_15-30-39,False,0,False,0
multiplane-ophys_759730_2024-12-12_08-46-07,s3://aind-private-data-prod-o5171v/multiplane-ophys_759730_2024-12-12_08-46-07,True,1,False,0
multiplane-ophys_759730_2024-12-19_09-06-56,s3://aind-private-data-prod-o5171v/multiplane-ophys_759730_2024-12-19_09-06-56,False,0,False,0
multiplane-ophys_726433_2024-05-08_08-58-21,s3://aind-private-data-prod-o5171v/multiplane-ophys_726433_2024-05-08_08-58-21,False,0,False,0
multiplane-ophys_726433_2024-05-09_08-22-05,s3://aind-private-data-prod-o5171v/multiplane-ophys_726433_2024-05-09_08-22-05,True,1,False,0
multiplane-ophys_726433_2024-05-14_08-13-15,,False,0,False,0
multiplane-ophys_726433_2024-05-16_08-50-33,,False,0,False,0
multiplane-ophys_726433_2024-05-17_08-27-53,,False,0,False,0
multiplane-ophys_726433_2024-06-06_08-39-48,s3://aind-private-data-prod-o5171v/multiplane-ophys_726433_2024-06-06_08-39-48,False,0,False,0
multiplane-ophys_726433_2024-06-10_12-00-02,s3://aind-private-data-prod-o5171v/multiplane-ophys_726433_2024-06-10_12-00-02,False,0,False,0
multiplane-ophys_726433_2024-06-11_10-10-55,,False,0,False,0
multiplane-ophys_726433_2024-06-20_08-57-23,,False,0,False,0
multiplane-ophys_735170_2024-10-01_09-43-34,,False,0,False,0
multiplane-ophys_477052_2019-10-10_08-36-00,,False,0,False,0
multiplane-ophys_477052_2019-10-11_07-08-00,,False,0,False,0
multiplane-ophys_477052_2019-10-15_06-44-00,,False,0,False,0
multiplane-ophys_736963_2024-07-09_09-13-58,s3://aind-private-data-prod-o5171v/multiplane-ophys_736963_2024-07-09_09-13-58,True,1,True,2
multiplane-ophys_736963_2024-07-10_09-02-58,s3://aind-private-data-prod-o5171v/multiplane-ophys_736963_2024-07-10_09-02-58,False,0,False,0
multiplane-ophys_736963_2024-07-11_08-45-05,s3://aind-private-data-prod-o5171v/multiplane-ophys_736963_2024-07-11_08-45-05,False,0,False,0
multiplane-ophys_736963_2024-07-12_09-20-11,s3://aind-private-data-prod-o5171v/multiplane-ophys_736963_2024-07-12_09-20-11,False,0,False,0
multiplane-ophys_736963_2024-07-15_09-23-32,s3://aind-private-data-prod-o5171v/multiplane-ophys_736963_2024-07-15_09-23-32,False,0,False,0
multiplane-ophys_736963_2024-07-16_09-17-44,s3://aind-private-data-prod-o5171v/multiplane-ophys_736963_2024-07-16_09-17-44,False,0,False,0
multiplane-ophys_736963_2024-07-18_08-41-14,s3://aind-private-data-prod-o5171v/multiplane-ophys_736963_2024-07-18_08-41-14,False,0,False,0
multiplane-ophys_736963_2024-07-19_09-14-01,s3://aind-private-data-prod-o5171v/multiplane-ophys_736963_2024-07-19_09-14-01,False,0,False,0
multiplane-ophys_736963_2024-07-22_08-54-38,s3://aind-private-data-prod-o5171v/multiplane-ophys_736963_2024-07-22_08-54-38,False,0,False,0
multiplane-ophys_736963_2024-07-23_08-57-56,s3://aind-private-data-prod-o5171v/multiplane-ophys_736963_2024-07-23_08-57-56,False,0,False,0
